,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,0,CL,1563555537,76,-53.16,-70.91,277.15,7.7
1,agadir,0,MA,1563555072,57,30.42,-9.58,298.15,6.7
2,mar del plata,77,AR,1563555255,39,-46.43,-67.52,281.146,12.74
3,tangshan,51,CN,1563554957,87,39.63,118.17,295.646,2.8
4,vila,0,IT,1563555538,45,45.18,8.4,303.71,3.6
5,salalah,75,OM,1563554722,94,17.01,54.1,300.15,3.6
6,iskateley,88,RU,1563555539,93,67.68,53.15,280.046,6.15
7,albany,40,US,1563555280,69,42.65,-73.75,304.26,3.6
8,ribeira grande,40,PT,1563555248,78,38.52,-28.7,298.15,5.1
9,kavieng,12,PG,1563555541,76,-2.57,150.8,301.746,5.88
10,ushuaia,20,AR,1563555541,80,-54.81,-68.31,278.15,3.1
11,kaitangata,100,NZ,1563555542,83,-46.28,169.85,281.48,4.47
12,saint george,20,GR,1563555059,42,39.45,22.34,302.15,3.6
13,tuktoyaktuk,90,CA,1563555503,93,69.44,-133.03,285.15,3.1
14,port elizabeth,20,US,1563555501,66,39.31,-74.98,308.15,2.6
15,hithadhoo,93,MV,1563555544,77,-0.6,73.08,301.546,7.35
16,saint-philippe,1,CA,1563555439,62,45.36,-73.48,304.26,3.1
17,lagoa,0,PT,1563555545,48,37.14,-8.45,303.15,5.7
18,levikha,96,RU,1563555545,95,57.58,59.9,291.546,1.68
19,butaritari,100,KI,1563555546,66,3.07,172.79,302.346,3.69
20,east london,40,ZA,1563555546,54,-33.02,27.91,288.15,10.8
21,yellowknife,75,CA,1563555337,51,62.45,-114.38,289.15,3.45
22,kholodnyy,100,RU,1563555547,94,62.72,147.95,277.446,1.84
23,faya,75,SA,1563555034,13,18.39,42.45,302.15,6.7
24,torbay,40,CA,1563555491,49,47.66,-52.73,296.48,13.9
25,bredasdorp,62,ZA,1563555548,81,-34.53,20.04,283.15,5.7
26,flin flon,90,CA,1563555549,88,54.77,-101.88,290.15,4.6
27,mendi,100,ET,1563555550,97,9.8,35.1,290.946,1.15
28,antalaha,16,MG,1563555550,98,-14.9,50.28,289.646,1.69
29,geraldton,20,CA,1563554979,60,49.72,-86.95,297.15,5.7
30,lompoc,90,US,1563555477,82,34.64,-120.46,291.15,2.1
31,tiksi,92,RU,1563555552,81,71.64,128.87,277.146,2.17
32,pevek,100,RU,1563555552,98,69.7,170.27,273.246,3.62
33,busselton,49,AU,1563555553,98,-33.64,115.35,282.04,13.0
34,meulaboh,100,ID,1563555017,86,4.14,96.13,298.546,2.5
35,nagato,75,JP,1563555554,94,34.35,131.14,298.15,8.2
36,cape town,40,ZA,1563554892,71,-33.93,18.42,285.93,4.1
37,vestmannaeyjar,75,IS,1563555017,93,63.44,-20.27,285.15,4.6
38,bubaque,80,GW,1563555555,81,11.28,-15.83,299.246,8.65
39,mount gambier,100,AU,1563555038,87,-37.83,140.78,282.15,5.1
40,qaanaaq,100,GL,1563555556,78,77.48,-69.36,277.846,3.56
41,adeje,100,NG,1563555557,88,5.68,5.76,297.646,3.64
42,new norfolk,8,AU,1563555483,81,-42.78,147.06,280.37,3.6
43,sterlibashevo,100,RU,1563555557,95,53.44,55.26,292.546,4.03
44,vallenar,0,CL,1563555558,17,-28.58,-70.76,299.946,3.94
45,sitka,0,US,1563555102,39,37.17,-99.65,308.15,6.71
46,hofn,90,IS,1563555077,82,64.25,-15.21,286.15,3.6
47,shubarshi,0,KZ,1563555559,29,48.59,57.19,304.846,6.94
48,hilo,90,US,1563555560,88,19.71,-155.08,299.26,1.5
49,arraial do cabo,40,BR,1563555541,77,-22.97,-42.02,295.15,10.3
50,upernavik,98,GL,1563555560,91,72.79,-56.15,279.946,6.07
51,saint-pierre,0,FR,1563555108,36,48.95,4.24,300.37,3.1
52,san patricio,28,PY,1563555561,73,-26.98,-56.83,295.746,2.49
53,ambanja,0,MG,1563555562,70,-13.68,48.45,298.446,2.35
54,yulara,0,AU,1563555326,32,-25.24,130.99,278.15,1.5
55,zhigansk,27,RU,1563555563,69,66.77,123.37,281.246,6.42
56,vuktyl,98,RU,1563555564,94,63.86,57.31,283.746,1.82
57,gorom-gorom,84,BF,1563555564,26,14.45,-0.24,311.246,2.76
58,rikitea,96,PF,1563555565,60,-23.12,-134.97,292.146,6.14
59,mataura,100,NZ,1563555565,97,-46.19,168.86,280.37,0.89
60,fushun,17,CN,1563555566,88,41.89,123.95,297.15,2.0
61,statesboro,40,US,1563555559,52,32.45,-81.78,307.15,1.5
62,manavalakurichi,75,IN,1563555021,94,8.13,77.3,298.15,2.1
63,harper,75,US,1563554992,62,30.3,-99.24,303.71,6.7
64,hobart,8,AU,1563555428,81,-42.88,147.33,280.37,3.6
65,port alfred,72,ZA,1563555568,77,-33.59,26.89,286.48,5.36
66,dakoro,100,NE,1563555569,35,14.51,6.76,307.846,5.6
67,bluff,0,AU,1563555569,59,-23.58,149.07,283.346,3.54
68,cedar city,1,US,1563555481,17,37.68,-113.06,301.15,5.7
69,kuching,75,MY,1563555570,88,1.56,110.34,300.15,2.1
70,bambous virieux,75,MU,1563555571,83,-20.34,57.76,294.15,5.7
71,forest grove,40,US,1563555572,59,45.52,-123.11,291.48,2.72
72,necochea,83,AR,1563554977,63,-38.55,-58.74,287.59,5.36
73,ahipara,0,NZ,1563555050,73,-35.17,173.16,287.446,9.01
74,damietta,0,EG,1563555573,69,31.42,31.81,301.15,5.7
75,karpathos,20,GR,1563555574,61,35.51,27.21,299.15,9.3
76,udachnyy,40,RU,1563555574,53,66.42,112.4,283.15,4.0
77,houma,84,CN,1563555575,70,35.63,111.36,298.246,2.09
78,taitung,100,TW,1563555575,89,22.76,121.15,291.046,3.64
79,cherskiy,66,RU,1563555576,79,68.75,161.3,278.846,2.58
80,atar,0,MR,1563555037,11,20.52,-13.05,313.846,5.12
81,jamestown,0,AU,1563555496,46,-33.21,138.6,283.246,5.96
82,egvekinot,100,RU,1563555578,97,66.32,-179.17,281.646,3.22
83,thompson,90,CA,1563555541,87,55.74,-97.86,286.15,6.2
84,haines junction,84,CA,1563554985,82,60.75,-137.51,285.146,2.69
85,georgetown,75,GY,1563555580,74,6.8,-58.16,303.15,3.1
86,longyearbyen,75,NO,1563555580,61,78.22,15.63,283.15,5.1
87,khatanga,87,RU,1563555581,51,71.98,102.47,287.346,3.53
88,chokurdakh,85,RU,1563555581,87,70.62,147.9,275.346,3.84
89,tagab,20,AF,1563555582,10,34.85,69.65,304.15,5.1
90,kapaa,75,US,1563555582,83,22.08,-159.32,299.15,6.2
91,lasa,20,CY,1563554988,74,34.92,32.53,300.15,6.7
92,manitouwadge,90,CA,1563555583,100,49.12,-85.84,287.15,2.1
93,kedrovyy,75,RU,1563555584,88,56.17,91.82,292.15,1.0
94,khon buri,84,TH,1563555584,90,14.52,102.25,296.946,4.58
95,bathsheba,40,BB,1563555073,62,13.22,-59.52,304.15,8.7
96,barrow,85,AR,1563555489,38,-38.31,-60.23,286.546,7.03
97,beringovskiy,100,RU,1563555586,78,63.05,179.32,286.946,3.52
98,ambon,90,FR,1563555046,73,47.55,-2.56,294.26,3.6
99,novokuznetsk,42,RU,1563555587,97,53.76,87.14,287.346,2.46
100,vardo,1,US,1563555587,63,39.62,-77.74,307.59,2.6
101,eskilstuna,0,SE,1563555377,47,59.37,16.51,298.15,3.1
102,yako,97,BF,1563555588,49,12.96,-2.26,305.146,9.58
103,boyolangu,64,ID,1563555589,95,-8.09,111.9,293.346,2.29
104,chillicothe,40,US,1563555589,74,39.33,-82.98,305.37,3.6
105,dikson,15,RU,1563555590,82,73.51,80.55,277.746,9.56
106,namatanai,73,PG,1563555137,83,-3.66,152.44,299.446,6.72
107,severo-kurilsk,77,RU,1563555087,94,50.68,156.12,282.246,3.17
108,cayenne,75,GF,1563555001,66,4.94,-52.33,303.15,1.0
109,saint-francois,0,FR,1563555591,33,46.42,3.91,303.15,1.5
